page	paragraph_idx	kind	prev_snippet
1	1	SBNP	(start of document)
3	15	SBNP	I.S.B.N. No: 978𢠨92�17571�2
5	18	SBNP	
9	39	SBC	
24	305	PBB	Part I, Chapter 7, Section 4 #33 Jesus� spiritual resurrecti
25	329	SBNP	The Hebrew Bible
26	340	SBNP	
66	1925	SBNP	5026燬o Joseph died, being one hundred ten years old, and th
67	1936	SBNP	
99	3191	SBNP	4038燜or the cloud of God was on the tabernacle by day, and
100	3202	SBNP	
123	4090	SBNP	2734燭hese are the commandments which God commanded Moses f
124	4101	SBNP	
157	5427	SBNP	3613燭hese are the commandments and the ordinances which Go
158	5438	SBNP	
185	6433	SBNP	3412燼nd in all the mighty hand, and in all the awesome deed
186	6444	SBNP	
205	7128	SBNP	2433燛leazar the son of Aaron died. They buried him in the h
206	7139	SBNP	
224	7780	SBNP	2125營n those days there was no king in Israel. Everyone did
225	7791	SBNP	
228	7882	SBNP	422燼nd Obed became the father of Jesse, and Jesse became th
229	7893	SBNP	
253	8736	SBNP	3113燭hey took their bones and buried them under the tamaris
254	8747	SBNP	
274	9468	SBNP	2425燚avid built an altar to God there, and offered burnt of
275	9479	SBNP	
299	10319	SBNP	2253燞e served Baal and worshiped him, and provoked God, the
300	10330	SBNP	
322	11076	SBNP	2530燼nd for his allowance, there was a continual allowance
323	11087	SBNP	
345	12060	SBNP	2930爓ith all his reign and his might, and the times that we
346	12071	SBNP	
372	12931	SBNP	3623爴Cyrus king of Persia says, 慓od, the God of heaven, ha
373	12942	SBNP	
381	13234	SBNP	1044燗ll these had taken foreign wives; and some of them had
382	13245	SBNP	
393	13666	SBNP	1331燼nd for the wood offering, at times appointed, and for
394	13677	SBNP	
400	13856	SBNP	103燜or Mordecai the Jew was next to King Ahasuerus, and gre
401	13867	SBNP	
421	14981	SBNP	4217燬o Job died, being old and full of days.
422	14992	SBNP	
473	17748	SBNP	1506燣et everything that has breath praise Yah! Praise Yah!
474	17759	SBNP	
491	18707	SBNP	3131燝ive her of the fruit of her hands! Let her works prais
492	18718	SBNP	
498	18954	SBNP	1214燜or God will bring every work into judgment, with every
499	18965	SBNP	
502	19092	SBNP	814燘eloved Come away, my beloved! Be like a gazelle or a yo
503	19103	SBNP	
540	20463	SBNP	6624爴They will go out, and look at the dead bodies of the m
541	20474	SBNP	
583	21892	SBNP	5234燜or his allowance, there was a continual allowance give
584	21903	SBNP	
588	22064	SBNP	522燘ut you have utterly rejected us. You are very angry ag
589	22075	SBNP	
627	23398	SBNP	4835爴It shall be eighteen thousand reeds around: and the na
628	23409	SBNP	
640	23780	SBNP	1213爴But go your way until the end; for you will rest, and
641	23791	SBNP	
647	24004	SBNP	149燱ho is wise, that he may understand these things? Who is
648	24015	SBNP	
650	24093	SBNP	321營 will cleanse their blood, that I have not cleansed: fo
651	24104	SBNP	
656	24261	SBNP	915營 will plant them on their land, and they will no more b
657	24272	SBNP	
658	24296	SBNP	121燬aviors will go up on Mount Zion to judge the mountains
659	24307	SBNP	
661	24361	SBNP	411燬hould not I be concerned for Nineveh, that great city,
662	24372	SBNP	
666	24486	SBNP	720燳ou will give truth to Jacob, and mercy to Abraham, as
667	24497	SBNP	
669	24549	SBNP	319燭here is no healing your wound, for your injury is fatal
670	24560	SBNP	
672	24621	SBNP	319燝od, the Lord, is my strength. He makes my feet like dee
673	24632	SBNP	
675	24690	SBNP	320燗t that time I will bring you in, and at that time I wil
676	24701	SBNP	
