Index,Style,Text
286,Heading 1,"GENESIS"
296,Heading 2,"CHAPTER 1"
314,Heading 2,"CHAPTER 2"
324,Heading 2,"CHAPTER 3"
341,Heading 2,"CHAPTER 4"
358,Heading 2,"CHAPTER 5"
373,Heading 2,"CHAPTER 6"
385,Heading 2,"CHAPTER 7"
390,Heading 2,"CHAPTER 8"
398,Heading 2,"CHAPTER 9"
408,Heading 2,"CHAPTER 10"
421,Heading 2,"CHAPTER 11"
436,Heading 2,"CHAPTER 12"
445,Heading 2,"CHAPTER 13"
451,Heading 2,"CHAPTER 14"
459,Heading 2,"CHAPTER 15"
465,Heading 2,"CHAPTER 16"
476,Heading 2,"CHAPTER 17"
485,Heading 2,"CHAPTER 18"
500,Heading 2,"CHAPTER 19"
516,Heading 2,"CHAPTER 20"
525,Heading 2,"CHAPTER 21"
541,Heading 2,"CHAPTER 22"
552,Heading 2,"CHAPTER 23"
563,Heading 2,"CHAPTER 24"
597,Heading 2,"CHAPTER 25"
614,Heading 2,"CHAPTER 26"
628,Heading 2,"CHAPTER 27"
653,Heading 2,"CHAPTER 28"
664,Heading 2,"CHAPTER 29"
683,Heading 2,"CHAPTER 30"
710,Heading 2,"CHAPTER 31"
731,Heading 2,"CHAPTER 32"
745,Heading 2,"CHAPTER 33"
756,Heading 2,"CHAPTER 34"
768,Heading 2,"CHAPTER 35"
780,Heading 2,"CHAPTER 36"
794,Heading 2,"CHAPTER 37"
813,Heading 2,"CHAPTER 38"
825,Heading 2,"CHAPTER 39"
838,Heading 2,"CHAPTER 40"
847,Heading 2,"CHAPTER 41"
865,Heading 2,"CHAPTER 42"
880,Heading 2,"CHAPTER 43"
899,Heading 2,"CHAPTER 44"
914,Heading 2,"CHAPTER 45"
924,Heading 2,"CHAPTER 46"
935,Heading 2,"CHAPTER 47"
951,Heading 2,"CHAPTER 48"
963,Heading 2,"CHAPTER 49"
974,Heading 2,"CHAPTER 50"
984,Heading 1,"EXODUS"
994,Heading 2,"CHAPTER 1"
1003,Heading 2,"CHAPTER 2"
1019,Heading 2,"CHAPTER 3"
1029,Heading 2,"CHAPTER 4"
1051,Heading 2,"CHAPTER 5"
1063,Heading 2,"CHAPTER 6"
1081,Heading 2,"CHAPTER 7"
1091,Heading 2,"CHAPTER 8"
1104,Heading 2,"CHAPTER 9"
1119,Heading 2,"CHAPTER 10"
1132,Heading 2,"CHAPTER 11"
1136,Heading 2,"CHAPTER 12"
1153,Heading 2,"CHAPTER 13"
1159,Heading 2,"CHAPTER 14"
1170,Heading 2,"CHAPTER 15"
1181,Heading 2,"CHAPTER 16"
1190,Heading 2,"CHAPTER 17"
1201,Heading 2,"CHAPTER 18"
1210,Heading 2,"CHAPTER 19"
1223,Heading 2,"CHAPTER 20"
1242,Heading 2,"CHAPTER 21"
1259,Heading 2,"CHAPTER 22"
1279,Heading 2,"CHAPTER 23"
1295,Heading 2,"CHAPTER 24"
1304,Heading 2,"CHAPTER 25"
1317,Heading 2,"CHAPTER 26"
1329,Heading 2,"CHAPTER 27"
1338,Heading 2,"CHAPTER 28"
