PageNum,PageSide,RowIndex,Side,Y,LeftX,RightX,CharCount,Pitch,LastCharCode,EndsWithSoftHyphen,IsParagraphEnd,RangeStart,RangeEnd,FirstChars
522,Verso,0,Left,54.5,43.3,240.2,51,3.937,32,False,False,2469734,2469784,"4322Yet you have not called on"
522,Verso,1,Left,64.5,43.3,155.3,31,3.732,13,False,True,2469785,2469815,"have been weary of me, Israel."
522,Verso,2,Left,74.5,43.3,240.2,51,3.937,32,False,False,2469816,2469866,"4323You have not brought me an"
522,Verso,3,Left,84.5,43.3,240.2,50,4.017,32,False,False,2469867,2469916,"burnt offerings, neither have "
522,Verso,4,Left,94.5,43.3,237.3,52,3.803,31,True,False,2469917,2469968,"your sacrifices. I have not bu"
522,Verso,5,Left,104.5,43.3,191.5,41,3.704,13,False,True,2469969,2470009,"ings, nor wearied you with fra"
522,Verso,6,Left,114.9,43.3,240.2,50,4.017,32,False,False,2470010,2470059,"4324You have bought me no swee"
522,Verso,7,Left,124.9,43.3,240.2,56,3.579,32,False,False,2470060,2470115,"nor have you filled me with th"
522,Verso,8,Left,134.9,43.3,240.2,50,4.017,32,False,False,2470116,2470165,"but you have burdened me with "
522,Verso,9,Left,144.9,43.3,161.5,33,3.694,13,False,True,2470166,2470198,"wearied me with your iniquitie"
522,Verso,10,Left,154.8,43.3,240.2,56,3.579,32,False,False,2470199,2470254,"4325I, even I, am he who blots"
522,Verso,11,Left,164.8,43.3,233.1,52,3.721,13,False,True,2470255,2470306,"for my own sake; and I will no"
522,Verso,12,Left,174.8,43.3,240.2,51,3.937,32,False,False,2470307,2470357,"4326Put me in remembrance. Let"
522,Verso,13,Left,184.8,43.3,205.6,46,3.607,13,False,True,2470358,2470403,"Declare your case, that you ma"
522,Verso,14,Left,194.8,43.3,240.2,54,3.714,32,False,False,2470404,2470457,"4327Your first father sinned, "
522,Verso,15,Left,204.8,43.3,134.5,25,3.798,13,False,True,2470458,2470482,"transgressed against me."
522,Verso,16,Left,214.8,43.3,237.3,54,3.659,31,True,False,2470483,2470536,"4328Therefore I will profane t"
522,Verso,17,Left,224.8,43.3,237.3,55,3.592,31,True,False,2470537,2470591,"tuary; and I will make Jacob a"
522,Verso,18,Left,234.8,43.3,62.9,7,3.258,13,False,True,2470592,2470598,"sult."
522,Verso,19,Left,256.8,43.3,165.3,11,12.195,13,False,True,2470599,2470609,"CHAPTER 44"
522,Verso,20,Left,275.5,43.3,240.2,55,3.645,32,False,False,2470610,2470664,"441Yet listen now, Jacob my se"
522,Verso,21,Left,285.5,43.3,95.3,15,3.714,13,False,True,2470665,2470679,"I have chosen."
