Side,Metric,Bin,Frequency
Left,CharCount,49,1
Left,CharCount,50,5
Left,CharCount,51,5
Left,CharCount,52,1
Left,CharCount,53,2
Left,CharCount,54,4
Left,CharCount,55,5
Left,CharCount,56,7
Left,CharCount,57,1
Left,CharCount,59,1
Right,CharCount,15,1
Right,CharCount,48,1
Right,CharCount,49,1
Right,CharCount,50,1
Right,CharCount,51,2
Right,CharCount,52,4
Right,CharCount,53,5
Right,CharCount,54,7
Right,CharCount,55,3
Right,CharCount,56,7
Right,CharCount,57,5
Right,CharCount,58,1
Right,CharCount,60,1
Left,Pitch,3.3,1
Left,Pitch,3.5,8
Left,Pitch,3.6,5
Left,Pitch,3.7,6
Left,Pitch,3.8,1
Left,Pitch,3.9,5
Left,Pitch,4.0,5
Left,Pitch,4.1,1
Right,Pitch,3.1,1
Right,Pitch,3.3,1
Right,Pitch,3.4,1
Right,Pitch,3.5,12
Right,Pitch,3.6,3
Right,Pitch,3.7,12
Right,Pitch,3.8,4
Right,Pitch,3.9,2
Right,Pitch,4.0,1
Right,Pitch,4.1,2
