PageNum,FindNum,Position,X,Y,YNext,YDelta,Column,Disposition,Context
22,1,32303,237.3,274.7,284.7,9.9,Left,Active,"d river is Gihon. It is the sa[SHY]me river that flows through th"
22,2,33671,448.7,104.9,114.9,9.9,Right,Active," leave his father and his moth[SHY]er, and will join with his wif"
22,3,33729,448.7,114.9,124.9,10.0,Right,Active,"wife, and they will be one fle[SHY]sh. 225 The man and his wife w"
22,4,33916,448.7,195.6,205.6,10.0,Right,Active,"od had made. He said to the wo[SHY]man, “Has God really said, ‘Yo"
22,5,34902,448.7,415.8,425.8,10.0,Right,Active,"e man and his wife hid themsel[SHY]ves from the presence of God a"
21,Recto,1,27188,258.9,165.7,175.7,10.0,Left,Active,"day”, and the darkness he call[SHY]ed “night”. There was evening "
21,Recto,2,27365,258.9,205.6,215.6,10.0,Left,Active," divide the waters from the wa[SHY]ters.” 17 God made the expanse"
21,Recto,3,27424,258.9,225.6,235.6,10.0,Left,Active,"se, and divided the waters whi[SHY]ch were under the expanse from"
21,Recto,4,27475,258.9,235.6,245.6,10.0,Left,Active,"panse from the waters which we[SHY]re above the expanse; and it w"
21,Recto,5,27960,258.9,345.5,355.4,9.9,Left,Active,"ing fruit after their kind, wi[SHY]th their seeds in it, on the e"
21,Recto,6,28865,258.9,545.6,555.6,10.0,Left,Active," and there was morning, a four[SHY]th day. 120 God said, “Let the"
21,Recto,7,28927,258.9,565.6,575.6,10.0,Left,Active,"waters abound with living crea[SHY]tures, and let birds fly above"
21,Recto,8,28983,258.9,575.6,585.6,10.0,Left,Active,"above the earth in the open ex[SHY]panse of the sky.” 121 God cre"
21,Recto,9,29056,469.9,54.5,64.5,10.0,Right,Active,"ge sea creatures and every liv[SHY]ing creature that moves, with "
21,Recto,10,29108,469.9,64.5,74.5,10.0,Right,Active,"es, with which the waters swar[SHY]med, after their kind, and eve"
21,Recto,11,29249,469.9,94.9,104.9,10.0,Right,Active,"aying, “Be fruitful, and multi[SHY]ply, and fill the waters in th"
21,Recto,12,29305,469.9,104.9,114.9,9.9,Right,Active,"in the seas, and let birds mul[SHY]tiply on the earth.” 123 There"
21,Recto,13,29880,469.9,234.8,244.7,9.9,Right,Active,"ds of the sky, and over the li[SHY]vestock, and over all the eart"
21,Recto,14,29934,469.9,244.7,254.7,10.0,Right,Active,"he earth, and over every creep[SHY]ing thing that creeps on the e"
21,Recto,15,30022,469.9,264.7,274.7,10.0,Right,Active,"in his own image. In God’s ima[SHY]ge he created him; male and fe"
21,Recto,16,30071,469.9,274.7,284.7,9.9,Right,Active," male and female he created th[SHY]em. 128 God blessed them. God"
21,Recto,17,30349,469.9,334.6,344.6,10.0,Right,Active,"have given you every herb yiel[SHY]ding seed, which is on the sur"
21,Recto,18,30710,469.9,414.5,424.5,10.0,Right,Active,"hing that he had made, and, be[SHY]hold, it was very good. There"
21,Recto,19,31053,469.9,525.7,535.7,10.0,Right,Active,"enth day, and made it holy, be[SHY]cause he rested in it from all"
22,Verso,1,32305,237.3,274.7,284.7,9.9,Left,Active,"d river is Gihon. It is the sa[SHY]me river that flows through th"
22,Verso,2,33673,448.7,104.9,114.9,9.9,Right,Active," leave his father and his moth[SHY]er, and will join with his wif"
22,Verso,3,33731,448.7,114.9,124.9,10.0,Right,Active,"wife, and they will be one fle[SHY]sh. 225 The man and his wife w"
22,Verso,4,33918,448.7,195.6,205.6,10.0,Right,Active,"od had made. He said to the wo[SHY]man, “Has God really said, ‘Yo"
22,Verso,5,34904,448.7,415.8,425.8,10.0,Right,Active,"e man and his wife hid themsel[SHY]ves from the presence of God a"
913,Recto,1,4121994,258.9,335.5,345.5,10.0,Left,Active,"was and who is to come, the Al[SHY]mighty.” 19 I John, your broth"
913,Recto,2,4122058,258.9,355.4,365.4,10.0,Left,Active,"and partner with you in the op[SHY]pression, Kingdom, and perseve"
913,Recto,3,4122404,258.9,425.8,435.8,10.0,Left,Active,"es: to Ephesus, Smyrna, Pergam[SHY]um, Thyatira, Sardis, Philadel"
913,Recto,4,4122512,258.9,445.8,455.7,10.0,Left,Active," voice that spoke with me. Hav[SHY]ing turned, I saw seven golden"
913,Recto,5,4122915,258.9,525.7,535.7,10.0,Left,Active,"voice was like the voice of ma[SHY]ny waters. 116 He had seven st"
913,Recto,6,4123321,469.9,94.9,104.9,10.0,Right,Active,". Amen. I have the keys of Dea[SHY]th and of hell. 119 Write the"
913,Recto,7,4123617,469.9,164.8,174.8,10.0,Right,Active,"re the angels of the seven ass[SHY]emblies. The seven lamp stands"
911,Recto,1,4116774,258.9,85.8,95.7,9.9,Left,Active,"sus Christ, and brother of Jam[SHY]es, to those who are called, s"
911,Recto,2,4116828,258.9,95.7,105.7,10.0,Left,Active,"lled, sanctified by God the Fa[SHY]ther, and kept for Jesus Chris"
911,Recto,3,4116967,258.9,125.7,135.7,10.0,Left,Active," very eager to write to you ab[SHY]out our common salvation, I wa"
911,Recto,4,4117755,247.2,295.5,295.5,0.0,Left,Stray,"Sodom and Gomorrah and the cit[SHY]ies around them, having in the"
911,Recto,5,4117840,178.2,315.5,315.5,0.0,Left,Stray," themselves over to sexual imm[SHY]orality and gone after strange"
911,Recto,6,4117885,137.4,325.5,325.5,0.0,Left,Stray,"ne after strange flesh, are sh[SHY]own as an example, suffering t"
911,Recto,7,4118055,258.9,355.4,365.4,10.0,Left,Active,"e authority, and slander celes[SHY]tial beings. 19 But Michael, t"
911,Recto,8,4118417,258.9,435.8,445.8,10.0,Left,Active,"like the creatures without rea[SHY]son. 111 Woe to them! For they"
911,Recto,9,4118715,258.9,505.7,515.7,10.0,Left,Active,"uds without water, carried al[SHY]ong by winds; autumn trees wi"
911,Recto,10,4119326,469.9,94.9,104.9,10.0,Right,Active,"rs and complainers, walking af[SHY]ter their lusts—and their mout"
911,Recto,11,4119594,469.9,154.8,164.8,10.0,Right,Active,"the last time there will be mo[SHY]ckers, walking after their own"
911,Recto,12,4119693,469.9,174.8,184.8,10.0,Right,Active,"ho cause divisions and are sen[SHY]sual, not having the Spirit. 1"
911,Recto,13,4119880,469.9,214.8,224.8,10.0,Right,Active,"od’s love, looking for the mer[SHY]cy of our Lord Jesus Christ to"
911,Recto,14,4120134,469.9,264.7,274.7,10.0,Right,Active,"is able to keep them from stum[SHY]bling, and to present you faul"
