PageNum,Side,FindNum,Position,X,Y,YDelta,Column,Disposition,Action,Context
911,Recto,1,4116774,258.9,85.8,9.9,Left,Active,Kept,"sus Christ, and brother of Jam[SHY]es, to those who are called, s"
911,Recto,2,4116828,258.9,95.7,10.0,Left,Active,Kept,"lled, sanctified by God the Fa[SHY]ther, and kept for Jesus Chris"
911,Recto,3,4116967,258.9,125.7,10.0,Left,Active,Kept," very eager to write to you ab[SHY]out our common salvation, I wa"
911,Recto,7,4118055,258.9,355.4,10.0,Left,Active,Kept,"e authority, and slander celes[SHY]tial beings. 19 But Michael, t"
911,Recto,8,4118417,258.9,435.8,10.0,Left,Active,Kept,"like the creatures without rea[SHY]son. 111 Woe to them! For they"
911,Recto,9,4118715,258.9,505.7,10.0,Left,Active,Kept,"uds without water, carried al[SHY]ong by winds; autumn trees wi"
911,Recto,10,4119326,469.9,94.9,10.0,Right,Active,Kept,"rs and complainers, walking af[SHY]ter their lusts—and their mout"
911,Recto,11,4119594,469.9,154.8,10.0,Right,Active,Kept,"the last time there will be mo[SHY]ckers, walking after their own"
911,Recto,12,4119693,469.9,174.8,10.0,Right,Active,Kept,"ho cause divisions and are sen[SHY]sual, not having the Spirit. 1"
911,Recto,13,4119880,469.9,214.8,10.0,Right,Active,Kept,"od’s love, looking for the mer[SHY]cy of our Lord Jesus Christ to"
911,Recto,14,4120134,469.9,264.7,10.0,Right,Active,Kept,"is able to keep them from stum[SHY]bling, and to present you faul"
911,Recto,stray1,4117755,247.2,295.5,0.0,Left,Stray,DryRun,"Sodom and Gomorrah and the cit[SHY]ies around them, having in the"
911,Recto,stray2,4117840,178.2,315.5,0.0,Left,Stray,DryRun," themselves over to sexual imm[SHY]orality and gone after strange"
911,Recto,stray3,4117885,137.4,325.5,0.0,Left,Stray,DryRun,"ne after strange flesh, are sh[SHY]own as an example, suffering t"
911,Recto,1,4116774,258.9,85.8,9.9,Left,Active,Kept,"sus Christ, and brother of Jam[SHY]es, to those who are called, s"
911,Recto,2,4116828,258.9,95.7,10.0,Left,Active,Kept,"lled, sanctified by God the Fa[SHY]ther, and kept for Jesus Chris"
911,Recto,3,4116967,258.9,125.7,10.0,Left,Active,Kept," very eager to write to you ab[SHY]out our common salvation, I wa"
911,Recto,7,4118055,258.9,355.4,10.0,Left,Active,Kept,"e authority, and slander celes[SHY]tial beings. 19 But Michael, t"
911,Recto,8,4118417,258.9,435.8,10.0,Left,Active,Kept,"like the creatures without rea[SHY]son. 111 Woe to them! For they"
911,Recto,9,4118715,258.9,505.7,10.0,Left,Active,Kept,"uds without water, carried al[SHY]ong by winds; autumn trees wi"
911,Recto,10,4119326,469.9,94.9,10.0,Right,Active,Kept,"rs and complainers, walking af[SHY]ter their lusts—and their mout"
911,Recto,11,4119594,469.9,154.8,10.0,Right,Active,Kept,"the last time there will be mo[SHY]ckers, walking after their own"
911,Recto,12,4119693,469.9,174.8,10.0,Right,Active,Kept,"ho cause divisions and are sen[SHY]sual, not having the Spirit. 1"
911,Recto,13,4119880,469.9,214.8,10.0,Right,Active,Kept,"od’s love, looking for the mer[SHY]cy of our Lord Jesus Christ to"
911,Recto,14,4120134,469.9,264.7,10.0,Right,Active,Kept,"is able to keep them from stum[SHY]bling, and to present you faul"
911,Recto,stray1,4117755,247.2,295.5,0.0,Left,Stray,Removed,"Sodom and Gomorrah and the cit[SHY]ies around them, having in the"
911,Recto,stray2,4117839,178.2,315.5,0.0,Left,Stray,Removed," themselves over to sexual imm[SHY]orality and gone after strange"
911,Recto,stray3,4117883,137.4,325.5,0.0,Left,Stray,Removed,"ne after strange flesh, are sh[SHY]own as an example, suffering t"
