=== Style Taxonomy Audit ===
Date    : 2026-05-17 14:13:27
Document: Blank Bible Copy.docm
========================================================================

-- Fully specified (all properties verified) --
PASS  BodyText
PASS  VerseText
PASS  Heading 1
PASS  Heading 2
PASS  ContentsRef
PASS  AuthorBookRefHeader
PASS  AuthorBookRef
PASS  CustomParaAfterH1
PASS  DatAuthRef
PASS  Brief
PASS  Psalms BOOK
PASS  Footnote Text
PASS  PsalmAcrostic
PASS  PsalmSuperscription
PASS  FrontPageTopLine
PASS  TitleEyebrow
PASS  Title
PASS  TitleVersion
PASS  FrontPageBodyText
PASS  BodyTextTopLineCPBB
PASS  Acknowledgments
PASS  AuthorBodyText
PASS  Contents
PASS  BibleIndexEyebrow
PASS  BibleIndex
PASS  Introduction
PASS  TitleOnePage
PASS  AuthorListItem
PASS  AuthorListItemBody
PASS  AuthorListItemTab
PASS  CenterSubText
PASS  SpeakerLabel
PASS  AuthorSectionHead
PASS  AuthorBookSections
PASS  BibleIndexList
PASS  ParallelHeader
PASS  ParallelText
PASS  TheHeaders
PASS  TheFooters
PASS  Footnote Reference
PASS  BookHyperlink
PASS  Selah
PASS  EmphasisBlack
PASS  EmphasisRed
PASS  Words of Jesus
PASS  Chapter Verse marker
PASS  Verse marker

-- Tab stops verified --
PASS  TheFooters (TabStops)
PASS  AuthorListItem (TabStops)
PASS  AuthorListItemTab (TabStops)
PASS  AuthorBookRef (TabStops)
PASS  AuthorBookRefHeader (TabStops)
PASS  ContentsRef (TabStops)
PASS  AuthorBookSections (TabStops)
PASS  BibleIndexList (TabStops)
PASS  ParallelText (TabStops)

========================================================================
Summary: 56 PASS   0 FAIL
=== End Style Taxonomy Audit ===
