SessionID, TotalTime
20250804-153341, 75.85
20250804-153818, 97.70
20250804-162611, 84.24
20250804-165419, 76.73
20250804-172454, 76.49
20250805-123054, 288.99
20250805-131348, 198.80
20250805-134053, 198.18
20250805-145726, 104.08
20250805-150109, 100.89
20250805-155450, 107.00
20250805-164547, 48.06
20251026-160516, 204.13
20260201-153215, 226.97
20260201-155426, 196.41
20260202-152513, 189.62
20260203-145216, 86.24
20260204-160808, 129.92
20260205-144900, 97.22
20260205-153504, 231.42
20260205-155101, 232.21
20260206-125844, 215.28
