---- AuditVerseMarkerStructure: 2026-05-06 14:51:24 ----

66 Heading 1 paragraphs found in 148 sections.

Genesis               expected chapters= 50  found= 50  OK
  ch   1: expected verses= 31  found VM= 31  found CVM= 31  OK/OK
  ch   2: expected verses= 25  found VM= 25  found CVM= 25  OK/OK
  ch   3: expected verses= 24  found VM= 24  found CVM= 24  OK/OK
  ch   4: expected verses= 26  found VM= 26  found CVM= 26  OK/OK
  ch   5: expected verses= 32  found VM= 32  found CVM= 32  OK/OK
  ch   6: expected verses= 22  found VM= 22  found CVM= 22  OK/OK
  ch   7: expected verses= 24  found VM= 24  found CVM= 24  OK/OK
  ch   8: expected verses= 22  found VM= 22  found CVM= 22  OK/OK
  ch   9: expected verses= 29  found VM= 29  found CVM= 29  OK/OK
  ch  10: expected verses= 32  found VM= 32  found CVM= 32  OK/OK
  ch  11: expected verses= 32  found VM= 32  found CVM= 32  OK/OK
  ch  12: expected verses= 20  found VM= 20  found CVM= 20  OK/OK
  ch  13: expected verses= 18  found VM= 18  found CVM= 18  OK/OK
  ch  14: expected verses= 24  found VM= 24  found CVM= 24  OK/OK
  ch  15: expected verses= 21  found VM= 21  found CVM= 21  OK/OK
  ch  16: expected verses= 16  found VM= 16  found CVM= 16  OK/OK
  ch  17: expected verses= 27  found VM= 27  found CVM= 27  OK/OK
  ch  18: expected verses= 33  found VM= 33  found CVM= 33  OK/OK
  ch  19: expected verses= 38  found VM= 38  found CVM= 38  OK/OK
  ch  20: expected verses= 18  found VM= 18  found CVM= 18  OK/OK
  ch  21: expected verses= 34  found VM= 34  found CVM= 34  OK/OK
  ch  22: expected verses= 24  found VM= 24  found CVM= 24  OK/OK
  ch  23: expected verses= 20  found VM= 20  found CVM= 20  OK/OK
  ch  24: expected verses= 67  found VM= 67  found CVM= 67  OK/OK
  ch  25: expected verses= 34  found VM= 34  found CVM= 34  OK/OK
  ch  26: expected verses= 35  found VM= 35  found CVM= 35  OK/OK
  ch  27: expected verses= 46  found VM= 46  found CVM= 46  OK/OK
  ch  28: expected verses= 22  found VM= 22  found CVM= 22  OK/OK
  ch  29: expected verses= 35  found VM= 35  found CVM= 35  OK/OK
  ch  30: expected verses= 43  found VM= 43  found CVM= 43  OK/OK
  ch  31: expected verses= 55  found VM= 55  found CVM= 55  OK/OK
  ch  32: expected verses= 32  found VM= 32  found CVM= 32  OK/OK
  ch  33: expected verses= 20  found VM= 20  found CVM= 20  OK/OK
  ch  34: expected verses= 31  found VM= 31  found CVM= 31  OK/OK
  ch  35: expected verses= 29  found VM= 29  found CVM= 29  OK/OK
  ch  36: expected verses= 43  found VM= 43  found CVM= 43  OK/OK
  ch  37: expected verses= 36  found VM= 36  found CVM= 36  OK/OK
  ch  38: expected verses= 30  found VM= 30  found CVM= 30  OK/OK
  ch  39: expected verses= 23  found VM= 23  found CVM= 23  OK/OK
  ch  40: expected verses= 23  found VM= 23  found CVM= 23  OK/OK
  ch  41: expected verses= 57  found VM= 57  found CVM= 57  OK/OK
  ch  42: expected verses= 38  found VM= 38  found CVM= 38  OK/OK
  ch  43: expected verses= 34  found VM= 34  found CVM= 34  OK/OK
  ch  44: expected verses= 34  found VM= 34  found CVM= 34  OK/OK
  ch  45: expected verses= 28  found VM= 28  found CVM= 28  OK/OK
  ch  46: expected verses= 34  found VM= 34  found CVM= 34  OK/OK
  ch  47: expected verses= 31  found VM= 31  found CVM= 31  OK/OK
  ch  48: expected verses= 22  found VM= 22  found CVM= 22  OK/OK
  ch  49: expected verses= 33  found VM= 33  found CVM= 33  OK/OK
